Index,Dates,Time,Score,Class
191,11-10-2020, 16:59:59,25,snoring
192,11-10-2020, 17:00:22,23.02,snoring
193,11-10-2020, 17:00:22,23.31,snoring
194,11-10-2020, 17:00:23,23.31,snoring
195,11-10-2020, 17:00:24,24.63,snoring
196,11-10-2020, 17:00:24,24.63,snoring
197,11-10-2020, 17:00:25,19.32,snoring
198,11-10-2020, 17:00:28,20.97,snoring
199,11-10-2020, 17:00:28,20.97,snoring
200,11-10-2020, 17:00:31,20.02,snoring
201,11-10-2020, 17:00:32,20.02,snoring
202,11-10-2020, 17:00:48,16.83,snoring
203,11-10-2020, 17:00:48,16.83,snoring
204,11-10-2020, 17:00:49,17.22,snoring
205,11-10-2020, 17:00:50,21.49,snoring
206,11-10-2020, 17:00:51,21.49,snoring
207,11-10-2020, 17:00:51,22.36,snoring
208,11-10-2020, 17:00:52,19.41,snoring
209,11-10-2020, 17:00:52,19.41,snoring
210,11-10-2020, 17:01:02,24.21,snoring
211,11-10-2020, 17:01:08,18.4,snoring
212,11-10-2020, 17:01:09,18.4,snoring
213,11-10-2020, 17:01:09,17.51,snoring
214,11-10-2020, 17:01:10,21.13,snoring
215,11-10-2020, 17:01:10,21.44,snoring
216,11-10-2020, 17:01:11,21.44,snoring
217,11-10-2020, 17:01:12,22.85,snoring
218,11-10-2020, 17:01:12,19.52,snoring
219,11-10-2020, 17:01:13,22.2,snoring
220,11-10-2020, 17:01:13,21.67,snoring
221,11-10-2020, 17:01:14,16.74,snoring
222,11-10-2020, 17:01:15,16.74,snoring
223,11-10-2020, 17:01:15,15.65,snoring
224,11-10-2020, 17:01:16,23.01,snoring
225,11-10-2020, 17:01:16,23.01,snoring
226,11-10-2020, 17:01:17,20.03,snoring
227,11-10-2020, 17:01:18,20.52,snoring
228,11-10-2020, 17:01:18,20.52,snoring
229,11-10-2020, 17:01:19,20.23,snoring
230,11-10-2020, 17:01:19,18.26,snoring
231,11-10-2020, 17:01:20,18.26,snoring
232,11-10-2020, 17:01:20,19.87,snoring
233,11-10-2020, 17:01:21,21.22,snoring
234,11-10-2020, 17:01:22,21.54,snoring
235,11-10-2020, 17:01:22,21.54,snoring
236,11-10-2020, 17:01:23,23.27,snoring
237,11-10-2020, 17:01:23,21.92,snoring
238,11-10-2020, 17:01:24,21.92,snoring
239,11-10-2020, 17:01:25,21.27,snoring
240,11-10-2020, 17:01:25,19.65,snoring
241,11-10-2020, 17:01:26,19.65,snoring
242,11-10-2020, 17:01:26,19.95,snoring
243,11-10-2020, 17:01:27,21.06,snoring
244,11-10-2020, 17:01:28,22.54,snoring
245,11-10-2020, 17:01:28,22.54,snoring
246,11-10-2020, 17:01:29,21.88,snoring
